"Part";"Value";"Device";"Package";"Description";"MF";"MFR";"MPN";"OC_MOUSER";"OC_SEEED";"VALUE";
"!RESET";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"A0";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"A1";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"A2";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"A3";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"A4";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"A5";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"A6";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"A7";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"AREF";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"C1";"12pF";"CAPACITOR0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";
"C2";"12pF";"CAPACITOR0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";
"C3";"1uF";"CAPACITOR0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";
"C4";"0.1uF";"CAPACITOR0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";
"C5";"0.1uF";"CAPACITOR0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";
"C6";"0.1uF";"CAPACITOR0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";
"CPU";"ATmega328P-MU";"ATMEGA328MU";"MLF32";"Atmega 328P";"";"Atmel";"atmega328p-mu";"556-ATMEGA328P-MU";"310010005";"ATmega328P-MU";
"D0";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"D1";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"D2";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"D3";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"D4";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"D5";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"D6";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"D7";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"D8";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"D9";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"D10";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"D11";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"D12";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"D13";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"GND";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"R1";"10K";"RESISTOR0402";"0402-RES";"Resistor";"";"";"";"";"";"";
"RGB";"";"SMART_LED2020";"SMD_2020";"Smart LED  SK6812  WS2812";"";"";"";"";"";"";
"VCC";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";"";"";"";
"XTAL";"16MHz";"2P3.2X2.5";"32X25";"Crystal";"Epson";"";"FA-238 16.0000MB-K3";"";"";"16MHz";
