"Part";"Value";"Device";"Package";"Description";"MFR";"MPN";"VALUE";
"!LDAC";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";
"A";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";
"B";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";
"C";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";
"C1";"0.1uF";"CAPACITOR0603";"0603-CAP";"Capacitor";"";"";"";
"D";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";
"DAC1";"MCP4728";"MCP4728";"MSOP10";"Quad DAC with I2C";"Microchip";"MCP4728";"MCP4728";
"GND";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";
"R1";"4.7K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";
"R2";"4.7K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";
"R3";"4.7K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";
"RDY/!BSY";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";
"SCL";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";
"SDA";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";
"VCC";"CAST-01X12.00MM";"CAST-01X12.00MM";"CAST01-2.00MM";"Castelated Edge Hole Pad";"";"";"";
